result_id,authors,outcome,table_col,rule,rationale,collapse,citation,design_type,N,tractable,notes
6,"Shastry (2012)",child_mortality_4causes,"Table 6 Panel A Col 2",i,"Authors label as 'preferred specification'. Outcome = child mortality from 4 leading causes (aggregated).",0,"preferred specification",staggered_DiD,8624,yes,""
9,"Dranove et al. (2021)",lnpriceperpresc,"Table 4 (fn 23 ref)",i+iii,"Footnote 23: 'column 4 our preferred estimate'. Under iii(a) lnspend_pc could be argued as more aggregated but paper's declared primary focus is drug prices.",0,"column 4 our preferred estimate (footnote 23)",staggered_DiD_controls,,yes,"iii(a) debatable: lnspend_pc vs lnpriceperpresc"
21,"Buchmueller & Carey (2018)",GT4pres,"Table 6 Panel B",i,"Authors label as 'preferred model' and 'baseline specification'. Shopping outcome is signature contribution.",0,"preferred model; baseline specification",staggered_DiD,612,yes,""
25,"Carrillo et al. (2017)",physician_cpta,"Table 2 Col 5",i,"Authors label as 'preferred specification'. Per-capita physician visits.",0,"preferred specification",staggered_DiD,285012,yes,""
29,"Kueng (2018)",share_vodka,"Table 2 Col 4",i+iii(a),"'Primary measures' declared. Vodka share is aggregated consumption measure vs subcategories.",0,"primary measures",single_timing_DiD,29083,yes,""
44,"Bosch & Campos-Vazquez (2014)",log_employers_le50,"Table 2 Col 7",i+iii(a),"'Table 2 presents the main results'. Col 7 aggregates firm sizes 1-50 (cols 2-4). Event study format — no static ATT reported.",1,"Table 2 presents the main results of the paper",staggered_DiD,65360,yes,"Collapse=1: only event-study coefficients reported. Needs static ATT re-estimation."
47,"Clemens (2015)",priv_ins_cov_supp,"Table 5 Panel A Col 1",i,"Authors label as 'baseline specification'.",0,"baseline specification",single_timing_DiD_controls,127554,yes,""
60,"Schmitt (2017)",lnprnonmed,"Table 2 Panel A Col 2",i+ii,"'Main results' declared. Largest N among main outcomes.",0,"Main results",staggered_DiD,39080,yes,""
61,"Evans & Garthwaite (2014)",excel_vgood,"Table 3",i+ii,"'Main results' declared. Self-reported excellent/very good health. Largest N. Plain OLS no FEs.",0,"main results",single_timing_DiD,82907,yes,"Plain OLS with DiD-encoded treatment variable"
65,"Courtemanche et al. (2017)",anyhi,"Table 2 Col 1",i+iii(a),"'Main DD Results'. Any health insurance = most aggregated coverage measure.",0,"Main DD Results",staggered_DiD,150997,yes,""
68,"Tanaka (2015)",waz,"Table 3 Col 5",i,"Authors label as 'preferred estimate'. Weight-for-age Z-score.",0,"preferred estimate",single_timing_DiD,1071,yes,""
70,"Dias & Fontes (2024)",pf_total,"dCDH estimator",iii(a),"No explicit 'main/preferred' label. Total MH admissions = most aggregated outcome under iii(a). Paper uses dCDH not TWFE.",1,"N/A — iii(a) applied",staggered_dCDH,,approx,"Uses did_multiplegt (dCDH). TWFE approximation in template. Collapse=1."
76,"Lawler & Yewell (2023)",bf_ever,"Table 2 Col 1",i+ii,"'Core finding' declared. Breastfeeding ever. Largest N.",0,"core finding",staggered_DiD_controls,354642,yes,""
79,"Carpenter & Lawler (2019)",P_U13TDAP,"Table 1 Col 1",i+iii(b),"'Main results' declared. Most parsimonious specification.",0,"main results",staggered_DiD_controls,116304,yes,""
80,"Marcus et al. (2022)",sportsclub,"Table 2 Col 3",i,"'Preferred specification' and 'main specification' declared.",0,"preferred specification; main specification",single_timing_DiD_controls,13334,yes,""
91,"Evans et al. (2022)",census_alleg_abneg,"Table 2 Panel A Total",i+iii(a),"'Primary outcomes' declared. Total neglect/abuse = aggregated measure under iii(a). Continuous treatment adapted to binary.",0,"primary outcomes",single_timing_DiD_controls,,yes,"Continuous treatment → binary adaptation"
92,"Atwood (2022)",income,"Table 2 Col 1",i+ii+iii(a),"'My preferred specification' (Eq 2). Income has largest N (15.7M tied w/ hours). Income is most aggregated labor market outcome; hours described as 'not economically significant'.",0,"my preferred specification allows for differential exposure to the measles vaccine",continuous_treatment_DiD,15710435,non_standard,"Continuous treatment intensity × continuous exposure (Bleakley 2007 design). Not standard binary TWFE."
97,"Bhalotra et al. (2021)",ins_rate_under5,"Table 3 Col 1",ii+iii(c),"Respiratory control table has most observations. Random tiebreaker documented. 'Most conservative' label.",0,"most conservative",single_timing_DiD,31082,yes,""
98,"Cunha (2014)",-,-,-,"RCT — not a natural experiment DiD. Protocol does not apply.",-,-,RCT,-,no,"Excluded: randomized controlled trial"
105,"Kinnan et al. (2020)",-,-,-,"Health shock DiD (Fadlon-Nielsen style). Not standard TWFE.",-,-,non_standard_DiD,-,no,"Excluded: health shock event study not replicable with standard template"
124,"Ager et al. (2021)",census_mr_tot,"Table 2 Col 3",i,"'Preferred all-age results'. Col 3 includes nearby_post controls (25/50/75 mile buffers).",0,"preferred",single_timing_2x2_DiD,1076,yes,"Protocol selects Col 3 (with nearby_post_* controls); current metadata has Col 2 (without). NEEDS FIX."
125,"Levine McKnight & Heep (2011)",any_insurance_SCHIP,"Table 3 Row 1 Col 2",i+ii,"Protocol selects SCHIP (Table 3 'main results' largest N=291118). BUT SCHIP is age-discontinuity 2x2 DiD (Below19 x Post1998) NOT staggered — non-tractable for CS-DID template. Paper's secondary analysis (extended parental coverage Tables 5-7 treatment=law) IS standard staggered DiD and tractable. Current metadata uses withparent (Table 7 mechanism check); main outcome should be privhi or insured (Table 5).",0,"Table 3 shows our main results for SCHIP",age_discontinuity_2x2_DiD,291118,non_standard_main,"CONFLICT: Protocol selects SCHIP (non-tractable age-discontinuity). Secondary parental coverage analysis (law treatment staggered DiD) IS tractable — current metadata uses this but with Table 7 outcome (withparent) instead of Table 5 main outcome. Recommend keeping parental coverage analysis as tractable proxy."
133,"Hoynes et al. (2015)",lowbirth,"Table 2 Col 2",i+ii+iii(b),"'Main Estimates'. Largest N. More parsimonious.",0,"Main Estimates",single_timing_DiD_controls,47687,yes,""
135,"Engelhardt & Gruber (2011)",rdrxacov,"Table 4 Panel B",i,"'Central estimates' declared. Prescription drug coverage.",0,"central estimates",single_timing_DiD,,yes,""
142,"Pei (2017)",-,-,-,"Null result. Within-family event study — no standard DiD.",-,-,non_standard,-,no,"Excluded: within-family design not replicable with standard template"
147,"Greenstone (2004)",PM_e_spm_mean,"Equation 2C",i+iii(a),"'Preferred econometric specification'. PM = most aggregated pollutant. Two-step IV-like procedure.",1,"preferred econometric specification",two_step_not_TWFE,,approx,"Uses two-step procedure. Template approximation. Collapse=1."
150,"Garthwaite (2012)",WORKING,"Table 3 Col 1 (reduced-form)",-,"IV-FE is preferred/main spec (Table 5 Col 2). Reduced-form DiD (Table 3 Col 1: Remove x Joint = -0.039) is 2x2 single-date event (Vioxx removal Sept 2004) not staggered. No replication data file exists. Non-tractable.",-,"preferred specification is IV-FE (Table 5)",IV_FE_main_2x2_reduced,37299,no,"Excluded: (1) main spec is IV not DiD; (2) reduced-form is 2x2 single-date not staggered; (3) no data file available; (4) MEPS microdata would need construction from scratch."
