"scope","item","status","detail","path"
"structure","directory code","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/code"
"structure","directory data","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/data"
"structure","directory analysis","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/analysis"
"structure","directory results","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/results"
"structure","directory output","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/output"
"structure","directory overleaf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf"
"structure","directory health_did_replication","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication"
"code","master script","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/code/00_master.R"
"code","Tier 1 default","PASS","RUN_TIER2 must default to FALSE for bundled-data reproduction.","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/code/00_master.R"
"code","post-run audit enabled","PASS","RUN_REPRO_CHECKS should be TRUE.","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/code/00_master.R"
"code","MVPF data before MVPF figure","PASS","mvpf_pilots.R must run before 11_mvpf_stress_test.R.","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/code/00_master.R"
"data","metadata count","PASS","56 metadata files","data/metadata"
"data","results directories match metadata","PASS","","results/by_article"
"analysis","consolidated_results.csv","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/analysis/consolidated_results.csv"
"analysis","consolidated row count","PASS","rows=53; expected non-excluded metadata=53","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/analysis/consolidated_results.csv"
"lesson8","mvpf_stress_test.csv","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/analysis/mvpf_stress_test.csv"
"lesson8","mvpf_stress_test_long.csv","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/analysis/mvpf_stress_test_long.csv"
"lesson8","table_4_8_mvpf_stress_test.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/output/tables/table_4_8_mvpf_stress_test.tex"
"lesson8","figure_4_8_mvpf_stress_test_panelA.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/output/figures/figure_4_8_mvpf_stress_test_panelA.pdf"
"lesson8","figure_4_8_mvpf_stress_test_panelB.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/output/figures/figure_4_8_mvpf_stress_test_panelB.pdf"
"tables","overleaf appendix_article_cards.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/appendix_article_cards.tex"
"tables","health_did_replication appendix_article_cards.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/appendix_article_cards.tex"
"tables","overleaf honest_did_v3_table.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/honest_did_v3_table.tex"
"tables","health_did_replication honest_did_v3_table.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/honest_did_v3_table.tex"
"tables","overleaf table_3_2_sample_detailed.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_2_sample_detailed.tex"
"tables","health_did_replication table_3_2_sample_detailed.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_2_sample_detailed.tex"
"tables","overleaf table_3_3_journal_final.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_3_journal_final.tex"
"tables","health_did_replication table_3_3_journal_final.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_3_journal_final.tex"
"tables","overleaf table_3_4_estimator_coverage.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_4_estimator_coverage.tex"
"tables","health_did_replication table_3_4_estimator_coverage.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_4_estimator_coverage.tex"
"tables","overleaf table_3_5_covariate_coverage.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_5_covariate_coverage.tex"
"tables","health_did_replication table_3_5_covariate_coverage.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_5_covariate_coverage.tex"
"tables","overleaf table_3_selection_balance.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_selection_balance.tex"
"tables","health_did_replication table_3_selection_balance.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_selection_balance.tex"
"tables","overleaf table_4_1_aggregate_concordance.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_1_aggregate_concordance.tex"
"tables","health_did_replication table_4_1_aggregate_concordance.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_1_aggregate_concordance.tex"
"tables","overleaf table_4_2_timing_heterogeneity.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_2_timing_heterogeneity.tex"
"tables","health_did_replication table_4_2_timing_heterogeneity.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_2_timing_heterogeneity.tex"
"tables","overleaf table_4_3_bacon_summary.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_3_bacon_summary.tex"
"tables","health_did_replication table_4_3_bacon_summary.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_3_bacon_summary.tex"
"tables","overleaf table_4_4_progbin_sensitivity.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_4_progbin_sensitivity.tex"
"tables","health_did_replication table_4_4_progbin_sensitivity.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_4_progbin_sensitivity.tex"
"tables","overleaf table_4_5_honestdid.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_5_honestdid.tex"
"tables","health_did_replication table_4_5_honestdid.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_5_honestdid.tex"
"tables","overleaf table_4_6_aggte_comparison.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_6_aggte_comparison.tex"
"tables","health_did_replication table_4_6_aggte_comparison.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_6_aggte_comparison.tex"
"tables","overleaf table_4_7_margin_attribution.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_7_margin_attribution.tex"
"tables","health_did_replication table_4_7_margin_attribution.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_7_margin_attribution.tex"
"tables","overleaf table_4_8_mvpf_stress_test.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_8_mvpf_stress_test.tex"
"tables","health_did_replication table_4_8_mvpf_stress_test.tex","PASS","must match output/tables byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_8_mvpf_stress_test.tex"
"figures","overleaf agregado/agregado_dynamic_v3.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/agregado_dynamic_v3.pdf"
"figures","health_did_replication agregado/agregado_dynamic_v3.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/agregado_dynamic_v3.pdf"
"figures","overleaf agregado/density_z_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/density_z_dynamic.pdf"
"figures","health_did_replication agregado/density_z_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/density_z_dynamic.pdf"
"figures","overleaf agregado/variacao_pct_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/variacao_pct_dynamic.pdf"
"figures","health_did_replication agregado/variacao_pct_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/variacao_pct_dynamic.pdf"
"figures","overleaf agregado/panel_es_6cases.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_es_6cases.pdf"
"figures","health_did_replication agregado/panel_es_6cases.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_es_6cases.pdf"
"figures","overleaf agregado/panel_binning_76.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_binning_76.pdf"
"figures","health_did_replication agregado/panel_binning_76.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_binning_76.pdf"
"figures","overleaf agregado/density_covariates_zscore.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/density_covariates_zscore.pdf"
"figures","health_did_replication agregado/density_covariates_zscore.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/density_covariates_zscore.pdf"
"figures","overleaf agregado/panel_csdid_controls_133.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_csdid_controls_133.pdf"
"figures","health_did_replication agregado/panel_csdid_controls_133.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_csdid_controls_133.pdf"
"figures","overleaf agregado/panel_graduated_sensitivity.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_graduated_sensitivity.pdf"
"figures","health_did_replication agregado/panel_graduated_sensitivity.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_graduated_sensitivity.pdf"
"figures","overleaf agregado/figure_4_1_aggregate_scatter_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_aggregate_scatter_matched.pdf"
"figures","health_did_replication agregado/figure_4_1_aggregate_scatter_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_aggregate_scatter_matched.pdf"
"figures","overleaf agregado/figure_4_1_headline_composite.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_headline_composite.pdf"
"figures","health_did_replication agregado/figure_4_1_headline_composite.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_headline_composite.pdf"
"figures","overleaf agregado/figure_4_1_signif_matrix.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_signif_matrix.pdf"
"figures","health_did_replication agregado/figure_4_1_signif_matrix.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_signif_matrix.pdf"
"figures","overleaf agregado/variacao_pct_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/variacao_pct_matched.pdf"
"figures","health_did_replication agregado/variacao_pct_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/variacao_pct_matched.pdf"
"figures","overleaf bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"figures","health_did_replication bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test.pdf"
"figures","health_did_replication figure_4_8_mvpf_stress_test.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test_panelA.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test_panelA.pdf"
"figures","health_did_replication figure_4_8_mvpf_stress_test_panelA.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test_panelA.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test_panelB.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test_panelB.pdf"
"figures","health_did_replication figure_4_8_mvpf_stress_test_panelB.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test_panelB.pdf"
"figures","overleaf sensitivity/event_study_sensitivity_210.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/sensitivity/event_study_sensitivity_210.pdf"
"figures","health_did_replication sensitivity/event_study_sensitivity_210.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/sensitivity/event_study_sensitivity_210.pdf"
"latex","overleaf Tables/table_3_2_sample_detailed.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_2_sample_detailed.tex"
"latex","working-paper Tables/table_3_2_sample_detailed.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_2_sample_detailed.tex"
"latex","overleaf Tables/table_3_selection_balance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_selection_balance.tex"
"latex","working-paper Tables/table_3_selection_balance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_selection_balance.tex"
"latex","overleaf Tables/table_3_5_covariate_coverage.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_5_covariate_coverage.tex"
"latex","working-paper Tables/table_3_5_covariate_coverage.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_5_covariate_coverage.tex"
"latex","overleaf Tables/table_4_1_aggregate_concordance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_1_aggregate_concordance.tex"
"latex","working-paper Tables/table_4_1_aggregate_concordance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_1_aggregate_concordance.tex"
"latex","overleaf Tables/table_4_2_timing_heterogeneity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_2_timing_heterogeneity.tex"
"latex","working-paper Tables/table_4_2_timing_heterogeneity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_2_timing_heterogeneity.tex"
"latex","overleaf Tables/table_4_3_bacon_summary.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_3_bacon_summary.tex"
"latex","working-paper Tables/table_4_3_bacon_summary.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_3_bacon_summary.tex"
"latex","overleaf Tables/table_4_4_progbin_sensitivity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_4_progbin_sensitivity.tex"
"latex","working-paper Tables/table_4_4_progbin_sensitivity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_4_progbin_sensitivity.tex"
"latex","overleaf Tables/table_4_5_honestdid.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_5_honestdid.tex"
"latex","working-paper Tables/table_4_5_honestdid.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_5_honestdid.tex"
"latex","overleaf Tables/table_4_6_aggte_comparison.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_6_aggte_comparison.tex"
